ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028225&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Bridges of the Bay Sightseeing Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028355&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Creatures of San Francisco Bay Sightseeing Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028395&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028235&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Flights and Lights Wine Tasting Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028725&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Bridges of the Bay Sightseeing Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028375&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Flights and Lights Wine Tasting Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028745&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028265&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028275&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028625&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Islands and Lighthouses of the Bay Sightseeing History Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028485&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Creatures of San Francisco Bay Sightseeing Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028415&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028295&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Flights and Lights Wine Tasting Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028755&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028655&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Pickin' On the Potomac,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028565&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028315&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028305&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 3 HR Islands and Lighthouses of the Bay Sightseeing History Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028465&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7189345&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028325&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028675&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Fleet Week Practice Friday,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028135&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Fleet Week Sightseeing History Cruise On the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028175&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028345&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7199205&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sightseeing History Cruise of the San Francisco Bay,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028335&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> 2hr Sunday Blues Cruise,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028705&REFERRAL_ID=tmfeed
ERROR | Could not extract presale info for --> Pickin' On the Potomac,http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=7028575&REFERRAL_ID=tmfeed
